,module,param,comp,size,shape,prunable
0,bert_model.embeddings.word_embeddings,weight,1.0,23440896,"(30522, 768)",False
1,bert_model.embeddings.position_embeddings,weight,1.0,393216,"(512, 768)",False
2,bert_model.embeddings.token_type_embeddings,weight,1.0,1536,"(2, 768)",False
3,bert_model.embeddings.LayerNorm,weight,1.0,768,"(768,)",False
4,bert_model.embeddings.LayerNorm,bias,1.0,768,"(768,)",False
5,bert_model.encoder.layer.0.attention.self.query,weight,1.6228119718396368,589824,"(768, 768)",True
6,bert_model.encoder.layer.0.attention.self.query,bias,1.0816901175981952,768,"(768,)",True
7,bert_model.encoder.layer.0.attention.self.key,weight,1.6476359326337018,589824,"(768, 768)",True
8,bert_model.encoder.layer.0.attention.self.key,bias,inf,768,"(768,)",True
9,bert_model.encoder.layer.0.attention.self.value,weight,2.1763919836849888,589824,"(768, 768)",True
10,bert_model.encoder.layer.0.attention.self.value,bias,2.5098039215686274,768,"(768,)",True
11,bert_model.encoder.layer.0.attention.output.dense,weight,2.291780139194789,589824,"(768, 768)",True
12,bert_model.encoder.layer.0.attention.output.dense,bias,2.157303417019435,768,"(768,)",True
13,bert_model.encoder.layer.0.attention.output.LayerNorm,weight,1.0,768,"(768,)",False
14,bert_model.encoder.layer.0.attention.output.LayerNorm,bias,1.0,768,"(768,)",False
15,bert_model.encoder.layer.0.intermediate.dense,weight,1.746493447116449,2359296,"(3072, 768)",True
16,bert_model.encoder.layer.0.intermediate.dense,bias,1.0148662041625371,3072,"(3072,)",True
17,bert_model.encoder.layer.0.output.dense,weight,1.8358493640265041,2359296,"(768, 3072)",True
18,bert_model.encoder.layer.0.output.dense,bias,1.3426573068403416,768,"(768,)",True
19,bert_model.encoder.layer.0.output.LayerNorm,weight,1.0,768,"(768,)",False
20,bert_model.encoder.layer.0.output.LayerNorm,bias,1.0,768,"(768,)",False
21,bert_model.encoder.layer.1.attention.self.query,weight,1.622682481967149,589824,"(768, 768)",True
22,bert_model.encoder.layer.1.attention.self.query,bias,1.2288000300000008,768,"(768,)",True
23,bert_model.encoder.layer.1.attention.self.key,weight,1.6331829056614169,589824,"(768, 768)",True
24,bert_model.encoder.layer.1.attention.self.key,bias,256.0,768,"(768,)",True
25,bert_model.encoder.layer.1.attention.self.value,weight,2.2080284232784817,589824,"(768, 768)",True
26,bert_model.encoder.layer.1.attention.self.value,bias,2.752688172043011,768,"(768,)",True
27,bert_model.encoder.layer.1.attention.output.dense,weight,2.351798411543723,589824,"(768, 768)",True
28,bert_model.encoder.layer.1.attention.output.dense,bias,1.3963636751033068,768,"(768,)",True
29,bert_model.encoder.layer.1.attention.output.LayerNorm,weight,1.0,768,"(768,)",False
30,bert_model.encoder.layer.1.attention.output.LayerNorm,bias,1.0,768,"(768,)",False
31,bert_model.encoder.layer.1.intermediate.dense,weight,1.6966590294228057,2359296,"(3072, 768)",True
32,bert_model.encoder.layer.1.intermediate.dense,bias,1.0301810865191148,3072,"(3072,)",True
33,bert_model.encoder.layer.1.output.dense,weight,1.774333715967698,2359296,"(768, 3072)",True
34,bert_model.encoder.layer.1.output.dense,bias,1.3963636751033068,768,"(768,)",True
35,bert_model.encoder.layer.1.output.LayerNorm,weight,1.0,768,"(768,)",False
36,bert_model.encoder.layer.1.output.LayerNorm,bias,1.0,768,"(768,)",False
37,bert_model.encoder.layer.2.attention.self.query,weight,1.5662606938603316,589824,"(768, 768)",True
38,bert_model.encoder.layer.2.attention.self.query,bias,1.2347267183929815,768,"(768,)",True
39,bert_model.encoder.layer.2.attention.self.key,weight,1.586311659661343,589824,"(768, 768)",True
40,bert_model.encoder.layer.2.attention.self.key,bias,767.9999771118171,768,"(768,)",True
41,bert_model.encoder.layer.2.attention.self.value,weight,2.2637043289667713,589824,"(768, 768)",True
42,bert_model.encoder.layer.2.attention.self.value,bias,2.4303796881571977,768,"(768,)",True
43,bert_model.encoder.layer.2.attention.output.dense,weight,2.393329178311356,589824,"(768, 768)",True
44,bert_model.encoder.layer.2.attention.output.dense,bias,1.3150684587904928,768,"(768,)",True
45,bert_model.encoder.layer.2.attention.output.LayerNorm,weight,1.0,768,"(768,)",False
46,bert_model.encoder.layer.2.attention.output.LayerNorm,bias,1.0,768,"(768,)",False
47,bert_model.encoder.layer.2.intermediate.dense,weight,1.6850886390209356,2359296,"(3072, 768)",True
48,bert_model.encoder.layer.2.intermediate.dense,bias,1.0329522740572978,3072,"(3072,)",True
49,bert_model.encoder.layer.2.output.dense,weight,1.7649624588681305,2359296,"(768, 3072)",True
50,bert_model.encoder.layer.2.output.dense,bias,1.3497363434176763,768,"(768,)",True
51,bert_model.encoder.layer.2.output.LayerNorm,weight,1.0,768,"(768,)",False
52,bert_model.encoder.layer.2.output.LayerNorm,bias,1.0,768,"(768,)",False
53,bert_model.encoder.layer.3.attention.self.query,weight,1.6080174216098004,589824,"(768, 768)",True
54,bert_model.encoder.layer.3.attention.self.query,bias,1.2347267183929815,768,"(768,)",True
55,bert_model.encoder.layer.3.attention.self.key,weight,1.6181595733445473,589824,"(768, 768)",True
56,bert_model.encoder.layer.3.attention.self.key,bias,383.99998855590854,768,"(768,)",True
57,bert_model.encoder.layer.3.attention.self.value,weight,2.0449254974500315,589824,"(768, 768)",True
58,bert_model.encoder.layer.3.attention.self.value,bias,2.8872181279237825,768,"(768,)",True
59,bert_model.encoder.layer.3.attention.output.dense,weight,2.2091034245929153,589824,"(768, 768)",True
60,bert_model.encoder.layer.3.attention.output.dense,bias,1.337979129644497,768,"(768,)",True
61,bert_model.encoder.layer.3.attention.output.LayerNorm,weight,1.0,768,"(768,)",False
62,bert_model.encoder.layer.3.attention.output.LayerNorm,bias,1.0,768,"(768,)",False
63,bert_model.encoder.layer.3.intermediate.dense,weight,1.67049786607772,2359296,"(3072, 768)",True
64,bert_model.encoder.layer.3.intermediate.dense,bias,1.0438328236493375,3072,"(3072,)",True
65,bert_model.encoder.layer.3.output.dense,weight,1.746087563233325,2359296,"(768, 3072)",True
66,bert_model.encoder.layer.3.output.dense,bias,1.3714285340601093,768,"(768,)",True
67,bert_model.encoder.layer.3.output.LayerNorm,weight,1.0,768,"(768,)",False
68,bert_model.encoder.layer.3.output.LayerNorm,bias,1.0,768,"(768,)",False
69,bert_model.encoder.layer.4.attention.self.query,weight,1.6227182661927826,589824,"(768, 768)",True
70,bert_model.encoder.layer.4.attention.self.query,bias,1.1851851851851851,768,"(768,)",True
71,bert_model.encoder.layer.4.attention.self.key,weight,1.6283315363392197,589824,"(768, 768)",True
72,bert_model.encoder.layer.4.attention.self.key,bias,767.9999771118171,768,"(768,)",True
73,bert_model.encoder.layer.4.attention.self.value,weight,1.8504863351224337,589824,"(768, 768)",True
74,bert_model.encoder.layer.4.attention.self.value,bias,3.0597610491797775,768,"(768,)",True
75,bert_model.encoder.layer.4.attention.output.dense,weight,1.9918612199811845,589824,"(768, 768)",True
76,bert_model.encoder.layer.4.attention.output.dense,bias,1.7860465750067627,768,"(768,)",True
77,bert_model.encoder.layer.4.attention.output.LayerNorm,weight,1.0,768,"(768,)",False
78,bert_model.encoder.layer.4.attention.output.LayerNorm,bias,1.0,768,"(768,)",False
79,bert_model.encoder.layer.4.intermediate.dense,weight,1.6680860676388907,2359296,"(3072, 768)",True
80,bert_model.encoder.layer.4.intermediate.dense,bias,1.0509750476039774,3072,"(3072,)",True
81,bert_model.encoder.layer.4.output.dense,weight,1.7418168004409458,2359296,"(768, 3072)",True
82,bert_model.encoder.layer.4.output.dense,bias,1.4970760233918128,768,"(768,)",True
83,bert_model.encoder.layer.4.output.LayerNorm,weight,1.0,768,"(768,)",False
84,bert_model.encoder.layer.4.output.LayerNorm,bias,1.0,768,"(768,)",False
85,bert_model.encoder.layer.5.attention.self.query,weight,1.5948948810779096,589824,"(768, 768)",True
86,bert_model.encoder.layer.5.attention.self.query,bias,1.28,768,"(768,)",True
87,bert_model.encoder.layer.5.attention.self.key,weight,1.5969200029240478,589824,"(768, 768)",True
88,bert_model.encoder.layer.5.attention.self.key,bias,383.99998855590854,768,"(768,)",True
89,bert_model.encoder.layer.5.attention.self.value,weight,1.8672584120149414,589824,"(768, 768)",True
