,module,param,comp,size,shape,prunable
0,bert_model.embeddings.word_embeddings,weight,1.0,23440896,"(30522, 768)",False
1,bert_model.embeddings.position_embeddings,weight,1.0,393216,"(512, 768)",False
2,bert_model.embeddings.token_type_embeddings,weight,1.0,1536,"(2, 768)",False
3,bert_model.embeddings.LayerNorm,weight,1.0,768,"(768,)",False
4,bert_model.embeddings.LayerNorm,bias,1.0,768,"(768,)",False
5,bert_model.encoder.layer.0.attention.self.query,weight,2.4233001855692216,589824,"(768, 768)",True
6,bert_model.encoder.layer.0.attention.self.query,bias,1.1277533039647578,768,"(768,)",True
7,bert_model.encoder.layer.0.attention.self.key,weight,2.4921684943868625,589824,"(768, 768)",True
8,bert_model.encoder.layer.0.attention.self.key,bias,inf,768,"(768,)",True
9,bert_model.encoder.layer.0.attention.self.value,weight,4.321403220919784,589824,"(768, 768)",True
10,bert_model.encoder.layer.0.attention.self.value,bias,4.243094012078006,768,"(768,)",True
11,bert_model.encoder.layer.0.attention.output.dense,weight,4.793251650257126,589824,"(768, 768)",True
12,bert_model.encoder.layer.0.attention.output.dense,bias,4.290502701860508,768,"(768,)",True
13,bert_model.encoder.layer.0.attention.output.LayerNorm,weight,1.0,768,"(768,)",False
14,bert_model.encoder.layer.0.attention.output.LayerNorm,bias,1.0,768,"(768,)",False
15,bert_model.encoder.layer.0.intermediate.dense,weight,2.8096724706302405,2359296,"(3072, 768)",True
16,bert_model.encoder.layer.0.intermediate.dense,bias,1.0288010926969309,3072,"(3072,)",True
17,bert_model.encoder.layer.0.output.dense,weight,3.095717743998676,2359296,"(768, 3072)",True
18,bert_model.encoder.layer.0.output.dense,bias,1.6445395608272328,768,"(768,)",True
19,bert_model.encoder.layer.0.output.LayerNorm,weight,1.0,768,"(768,)",False
20,bert_model.encoder.layer.0.output.LayerNorm,bias,1.0,768,"(768,)",False
21,bert_model.encoder.layer.1.attention.self.query,weight,2.4319630952865867,589824,"(768, 768)",True
22,bert_model.encoder.layer.1.attention.self.query,bias,1.424860813095268,768,"(768,)",True
23,bert_model.encoder.layer.1.attention.self.key,weight,2.455052822758575,589824,"(768, 768)",True
24,bert_model.encoder.layer.1.attention.self.key,bias,inf,768,"(768,)",True
25,bert_model.encoder.layer.1.attention.self.value,weight,4.476774479752109,589824,"(768, 768)",True
26,bert_model.encoder.layer.1.attention.self.value,bias,5.019607843137255,768,"(768,)",True
27,bert_model.encoder.layer.1.attention.output.dense,weight,5.008993276818552,589824,"(768, 768)",True
28,bert_model.encoder.layer.1.attention.output.dense,bias,1.8506024776818142,768,"(768,)",True
29,bert_model.encoder.layer.1.attention.output.LayerNorm,weight,1.0,768,"(768,)",False
30,bert_model.encoder.layer.1.attention.output.LayerNorm,bias,1.0,768,"(768,)",False
31,bert_model.encoder.layer.1.intermediate.dense,weight,2.655220209357232,2359296,"(3072, 768)",True
32,bert_model.encoder.layer.1.intermediate.dense,bias,1.0531368064032807,3072,"(3072,)",True
33,bert_model.encoder.layer.1.output.dense,weight,2.88805559000777,2359296,"(768, 3072)",True
34,bert_model.encoder.layer.1.output.dense,bias,1.8285714285714285,768,"(768,)",True
35,bert_model.encoder.layer.1.output.LayerNorm,weight,1.0,768,"(768,)",False
36,bert_model.encoder.layer.1.output.LayerNorm,bias,1.0,768,"(768,)",False
37,bert_model.encoder.layer.2.attention.self.query,weight,2.2605549424530644,589824,"(768, 768)",True
38,bert_model.encoder.layer.2.attention.self.query,bias,1.393829362489749,768,"(768,)",True
39,bert_model.encoder.layer.2.attention.self.key,weight,2.3177435302052234,589824,"(768, 768)",True
40,bert_model.encoder.layer.2.attention.self.key,bias,inf,768,"(768,)",True
41,bert_model.encoder.layer.2.attention.self.value,weight,4.651132089189306,589824,"(768, 768)",True
42,bert_model.encoder.layer.2.attention.self.value,bias,3.8984773083402104,768,"(768,)",True
43,bert_model.encoder.layer.2.attention.output.dense,weight,5.179301244789836,589824,"(768, 768)",True
44,bert_model.encoder.layer.2.attention.output.dense,bias,1.5390782033756907,768,"(768,)",True
45,bert_model.encoder.layer.2.attention.output.LayerNorm,weight,1.0,768,"(768,)",False
46,bert_model.encoder.layer.2.attention.output.LayerNorm,bias,1.0,768,"(768,)",False
47,bert_model.encoder.layer.2.intermediate.dense,weight,2.6130317537598544,2359296,"(3072, 768)",True
48,bert_model.encoder.layer.2.intermediate.dense,bias,1.0563961707280967,3072,"(3072,)",True
49,bert_model.encoder.layer.2.output.dense,weight,2.8539720555215196,2359296,"(768, 3072)",True
50,bert_model.encoder.layer.2.output.dense,bias,1.691630012802259,768,"(768,)",True
51,bert_model.encoder.layer.2.output.LayerNorm,weight,1.0,768,"(768,)",False
52,bert_model.encoder.layer.2.output.LayerNorm,bias,1.0,768,"(768,)",False
53,bert_model.encoder.layer.3.attention.self.query,weight,2.3885896447422623,589824,"(768, 768)",True
54,bert_model.encoder.layer.3.attention.self.query,bias,1.4941634684807883,768,"(768,)",True
55,bert_model.encoder.layer.3.attention.self.key,weight,2.410317641496409,589824,"(768, 768)",True
56,bert_model.encoder.layer.3.attention.self.key,bias,inf,768,"(768,)",True
57,bert_model.encoder.layer.3.attention.self.value,weight,3.8017595006224205,589824,"(768, 768)",True
58,bert_model.encoder.layer.3.attention.self.value,bias,6.143999812500006,768,"(768,)",True
59,bert_model.encoder.layer.3.attention.output.dense,weight,4.438237288279073,589824,"(768, 768)",True
60,bert_model.encoder.layer.3.attention.output.dense,bias,1.7219730352573468,768,"(768,)",True
61,bert_model.encoder.layer.3.attention.output.LayerNorm,weight,1.0,768,"(768,)",False
62,bert_model.encoder.layer.3.attention.output.LayerNorm,bias,1.0,768,"(768,)",False
63,bert_model.encoder.layer.3.intermediate.dense,weight,2.5722276581515584,2359296,"(3072, 768)",True
64,bert_model.encoder.layer.3.intermediate.dense,bias,1.0870488322717622,3072,"(3072,)",True
65,bert_model.encoder.layer.3.output.dense,weight,2.7926313566001344,2359296,"(768, 3072)",True
66,bert_model.encoder.layer.3.output.dense,bias,1.6768558393301538,768,"(768,)",True
67,bert_model.encoder.layer.3.output.LayerNorm,weight,1.0,768,"(768,)",False
68,bert_model.encoder.layer.3.output.LayerNorm,bias,1.0,768,"(768,)",False
69,bert_model.encoder.layer.4.attention.self.query,weight,2.4270594622635957,589824,"(768, 768)",True
70,bert_model.encoder.layer.4.attention.self.query,bias,1.3714285340601093,768,"(768,)",True
71,bert_model.encoder.layer.4.attention.self.key,weight,2.444450871460941,589824,"(768, 768)",True
72,bert_model.encoder.layer.4.attention.self.key,bias,inf,768,"(768,)",True
73,bert_model.encoder.layer.4.attention.self.value,weight,3.142409517349382,589824,"(768, 768)",True
74,bert_model.encoder.layer.4.attention.self.value,bias,7.111111111111111,768,"(768,)",True
75,bert_model.encoder.layer.4.attention.output.dense,weight,3.607839342361095,589824,"(768, 768)",True
76,bert_model.encoder.layer.4.attention.output.dense,bias,3.0597610491797775,768,"(768,)",True
77,bert_model.encoder.layer.4.attention.output.LayerNorm,weight,1.0,768,"(768,)",False
78,bert_model.encoder.layer.4.attention.output.LayerNorm,bias,1.0,768,"(768,)",False
79,bert_model.encoder.layer.4.intermediate.dense,weight,2.5612394670058607,2359296,"(3072, 768)",True
80,bert_model.encoder.layer.4.intermediate.dense,bias,1.0936276492523085,3072,"(3072,)",True
81,bert_model.encoder.layer.4.output.dense,weight,2.767791517389952,2359296,"(768, 3072)",True
82,bert_model.encoder.layer.4.output.dense,bias,2.0534759777186586,768,"(768,)",True
83,bert_model.encoder.layer.4.output.LayerNorm,weight,1.0,768,"(768,)",False
84,bert_model.encoder.layer.4.output.LayerNorm,bias,1.0,768,"(768,)",False
85,bert_model.encoder.layer.5.attention.self.query,weight,2.3448889291415753,589824,"(768, 768)",True
86,bert_model.encoder.layer.5.attention.self.query,bias,1.5770021027990604,768,"(768,)",True
87,bert_model.encoder.layer.5.attention.self.key,weight,2.3570898007760017,589824,"(768, 768)",True
88,bert_model.encoder.layer.5.attention.self.key,bias,inf,768,"(768,)",True
89,bert_model.encoder.layer.5.attention.self.value,weight,3.1683711605452314,589824,"(768, 768)",True
90,bert_model.encoder.layer.5.attention.self.value,bias,5.333333333333333,768,"(768,)",True
