,module,param,comp,size,shape,prunable
0,bert_model.embeddings.word_embeddings,weight,1.0,23440896,"(30522, 768)",False
1,bert_model.embeddings.position_embeddings,weight,1.0,393216,"(512, 768)",False
2,bert_model.embeddings.token_type_embeddings,weight,1.0,1536,"(2, 768)",False
3,bert_model.embeddings.LayerNorm,weight,1.0,768,"(768,)",False
4,bert_model.embeddings.LayerNorm,bias,1.0,768,"(768,)",False
5,bert_model.encoder.layer.0.attention.self.query,weight,17.804394942442162,589824,"(768, 768)",True
6,bert_model.encoder.layer.0.attention.self.query,bias,2.4150943396226414,768,"(768,)",True
7,bert_model.encoder.layer.0.attention.self.key,weight,26.765166486461048,589824,"(768, 768)",True
8,bert_model.encoder.layer.0.attention.self.key,bias,inf,768,"(768,)",True
9,bert_model.encoder.layer.0.attention.self.value,weight,34.9753310556334,589824,"(768, 768)",True
10,bert_model.encoder.layer.0.attention.self.value,bias,4.923076923076923,768,"(768,)",True
11,bert_model.encoder.layer.0.attention.output.dense,weight,65.4996122149426,589824,"(768, 768)",True
12,bert_model.encoder.layer.0.attention.output.dense,bias,7.384615113749317,768,"(768,)",True
13,bert_model.encoder.layer.0.attention.output.LayerNorm,weight,1.0,768,"(768,)",False
14,bert_model.encoder.layer.0.attention.output.LayerNorm,bias,1.0,768,"(768,)",False
15,bert_model.encoder.layer.0.intermediate.dense,weight,3.216223190018315,2359296,"(3072, 768)",True
16,bert_model.encoder.layer.0.intermediate.dense,bias,1.2699462908273544,3072,"(3072,)",True
17,bert_model.encoder.layer.0.output.dense,weight,20.09998466492869,2359296,"(768, 3072)",True
18,bert_model.encoder.layer.0.output.dense,bias,1.7534246575342465,768,"(768,)",True
19,bert_model.encoder.layer.0.output.LayerNorm,weight,1.0,768,"(768,)",False
20,bert_model.encoder.layer.0.output.LayerNorm,bias,1.0,768,"(768,)",False
21,bert_model.encoder.layer.1.attention.self.query,weight,18.55959737354159,589824,"(768, 768)",True
22,bert_model.encoder.layer.1.attention.self.query,bias,3.9792744540960894,768,"(768,)",True
23,bert_model.encoder.layer.1.attention.self.key,weight,29.955509668526474,589824,"(768, 768)",True
24,bert_model.encoder.layer.1.attention.self.key,bias,inf,768,"(768,)",True
25,bert_model.encoder.layer.1.attention.self.value,weight,35.7642490682905,589824,"(768, 768)",True
26,bert_model.encoder.layer.1.attention.self.value,bias,5.446808510638298,768,"(768,)",True
27,bert_model.encoder.layer.1.attention.output.dense,weight,123.21369749708187,589824,"(768, 768)",True
28,bert_model.encoder.layer.1.attention.output.dense,bias,3.7832513737138784,768,"(768,)",True
29,bert_model.encoder.layer.1.attention.output.LayerNorm,weight,1.0,768,"(768,)",False
30,bert_model.encoder.layer.1.attention.output.LayerNorm,bias,1.0,768,"(768,)",False
31,bert_model.encoder.layer.1.intermediate.dense,weight,3.326020556949117,2359296,"(3072, 768)",True
32,bert_model.encoder.layer.1.intermediate.dense,bias,1.2967496500011324,3072,"(3072,)",True
33,bert_model.encoder.layer.1.output.dense,weight,106.88605516328033,2359296,"(768, 3072)",True
34,bert_model.encoder.layer.1.output.dense,bias,3.324675324675325,768,"(768,)",True
35,bert_model.encoder.layer.1.output.LayerNorm,weight,1.0,768,"(768,)",False
36,bert_model.encoder.layer.1.output.LayerNorm,bias,1.0,768,"(768,)",False
37,bert_model.encoder.layer.2.attention.self.query,weight,34.350008247263844,589824,"(768, 768)",True
38,bert_model.encoder.layer.2.attention.self.query,bias,7.757575757575758,768,"(768,)",True
39,bert_model.encoder.layer.2.attention.self.key,weight,50.25338777105679,589824,"(768, 768)",True
40,bert_model.encoder.layer.2.attention.self.key,bias,inf,768,"(768,)",True
41,bert_model.encoder.layer.2.attention.self.value,weight,50.89955179611013,589824,"(768, 768)",True
42,bert_model.encoder.layer.2.attention.self.value,bias,6.2439024390243905,768,"(768,)",True
43,bert_model.encoder.layer.2.attention.output.dense,weight,315.92073102333575,589824,"(768, 768)",True
44,bert_model.encoder.layer.2.attention.output.dense,bias,4.129032258064516,768,"(768,)",True
45,bert_model.encoder.layer.2.attention.output.LayerNorm,weight,1.0,768,"(768,)",False
46,bert_model.encoder.layer.2.attention.output.LayerNorm,bias,1.0,768,"(768,)",False
47,bert_model.encoder.layer.2.intermediate.dense,weight,2.7526529444327954,2359296,"(3072, 768)",True
48,bert_model.encoder.layer.2.intermediate.dense,bias,1.2482730906901842,3072,"(3072,)",True
49,bert_model.encoder.layer.2.output.dense,weight,90.41873468553914,2359296,"(768, 3072)",True
50,bert_model.encoder.layer.2.output.dense,bias,3.011764705882353,768,"(768,)",True
51,bert_model.encoder.layer.2.output.LayerNorm,weight,1.0,768,"(768,)",False
52,bert_model.encoder.layer.2.output.LayerNorm,bias,1.0,768,"(768,)",False
53,bert_model.encoder.layer.3.attention.self.query,weight,23.557153127246586,589824,"(768, 768)",True
54,bert_model.encoder.layer.3.attention.self.query,bias,6.193548577633168,768,"(768,)",True
55,bert_model.encoder.layer.3.attention.self.key,weight,31.017248234509342,589824,"(768, 768)",True
56,bert_model.encoder.layer.3.attention.self.key,bias,inf,768,"(768,)",True
57,bert_model.encoder.layer.3.attention.self.value,weight,44.14850259062713,589824,"(768, 768)",True
58,bert_model.encoder.layer.3.attention.self.value,bias,5.9076924810466025,768,"(768,)",True
59,bert_model.encoder.layer.3.attention.output.dense,weight,519.2112710926651,589824,"(768, 768)",True
60,bert_model.encoder.layer.3.attention.output.dense,bias,4.800000114440921,768,"(768,)",True
61,bert_model.encoder.layer.3.attention.output.LayerNorm,weight,1.0,768,"(768,)",False
62,bert_model.encoder.layer.3.attention.output.LayerNorm,bias,1.0,768,"(768,)",False
63,bert_model.encoder.layer.3.intermediate.dense,weight,2.742780614380179,2359296,"(3072, 768)",True
64,bert_model.encoder.layer.3.intermediate.dense,bias,1.2636775306987889,3072,"(3072,)",True
65,bert_model.encoder.layer.3.output.dense,weight,156.3690337295853,2359296,"(768, 3072)",True
66,bert_model.encoder.layer.3.output.dense,bias,3.173553819059067,768,"(768,)",True
67,bert_model.encoder.layer.3.output.LayerNorm,weight,1.0,768,"(768,)",False
68,bert_model.encoder.layer.3.output.LayerNorm,bias,1.0,768,"(768,)",False
69,bert_model.encoder.layer.4.attention.self.query,weight,16.36672423529509,589824,"(768, 768)",True
70,bert_model.encoder.layer.4.attention.self.query,bias,3.6746412824654935,768,"(768,)",True
71,bert_model.encoder.layer.4.attention.self.key,weight,28.542173093070602,589824,"(768, 768)",True
72,bert_model.encoder.layer.4.attention.self.key,bias,inf,768,"(768,)",True
73,bert_model.encoder.layer.4.attention.self.value,weight,38.77105014143281,589824,"(768, 768)",True
74,bert_model.encoder.layer.4.attention.self.value,bias,4.987013110545099,768,"(768,)",True
75,bert_model.encoder.layer.4.attention.output.dense,weight,701.3365168864993,589824,"(768, 768)",True
76,bert_model.encoder.layer.4.attention.output.dense,bias,8.827586206896552,768,"(768,)",True
77,bert_model.encoder.layer.4.attention.output.LayerNorm,weight,1.0,768,"(768,)",False
78,bert_model.encoder.layer.4.attention.output.LayerNorm,bias,1.0,768,"(768,)",False
79,bert_model.encoder.layer.4.intermediate.dense,weight,3.1377915446237887,2359296,"(3072, 768)",True
80,bert_model.encoder.layer.4.intermediate.dense,bias,1.2983938802841617,3072,"(3072,)",True
81,bert_model.encoder.layer.4.output.dense,weight,262.144,2359296,"(768, 3072)",True
82,bert_model.encoder.layer.4.output.dense,bias,4.598802290161446,768,"(768,)",True
83,bert_model.encoder.layer.4.output.LayerNorm,weight,1.0,768,"(768,)",False
84,bert_model.encoder.layer.4.output.LayerNorm,bias,1.0,768,"(768,)",False
85,bert_model.encoder.layer.5.attention.self.query,weight,17.329924704192273,589824,"(768, 768)",True
86,bert_model.encoder.layer.5.attention.self.query,bias,5.019607843137255,768,"(768,)",True
87,bert_model.encoder.layer.5.attention.self.key,weight,26.589009016683292,589824,"(768, 768)",True
88,bert_model.encoder.layer.5.attention.self.key,bias,inf,768,"(768,)",True
89,bert_model.encoder.layer.5.attention.self.value,weight,50.069948028513714,589824,"(768, 768)",True
90,bert_model.encoder.layer.5.attention.self.value,bias,4.682926720341782,768,"(768,)",True
