,module,param,comp,size,shape,prunable
0,bert_model.embeddings.word_embeddings,weight,1.0,23440896,"(30522, 768)",False
1,bert_model.embeddings.position_embeddings,weight,1.0,393216,"(512, 768)",False
2,bert_model.embeddings.token_type_embeddings,weight,1.0,1536,"(2, 768)",False
3,bert_model.embeddings.LayerNorm,weight,1.0,768,"(768,)",False
4,bert_model.embeddings.LayerNorm,bias,1.0,768,"(768,)",False
5,bert_model.encoder.layer.0.attention.self.query,weight,8.390457571490915,589824,"(768, 768)",True
6,bert_model.encoder.layer.0.attention.self.query,bias,1.2387096469335335,768,"(768,)",True
7,bert_model.encoder.layer.0.attention.self.key,weight,8.781847609791475,589824,"(768, 768)",True
8,bert_model.encoder.layer.0.attention.self.key,bias,inf,768,"(768,)",True
9,bert_model.encoder.layer.0.attention.self.value,weight,39.92851241387368,589824,"(768, 768)",True
10,bert_model.encoder.layer.0.attention.self.value,bias,10.24,768,"(768,)",True
11,bert_model.encoder.layer.0.attention.output.dense,weight,40.914538014858366,589824,"(768, 768)",True
12,bert_model.encoder.layer.0.attention.output.dense,bias,28.444444444444443,768,"(768,)",True
13,bert_model.encoder.layer.0.attention.output.LayerNorm,weight,1.0,768,"(768,)",False
14,bert_model.encoder.layer.0.attention.output.LayerNorm,bias,1.0,768,"(768,)",False
15,bert_model.encoder.layer.0.intermediate.dense,weight,12.842711628209166,2359296,"(3072, 768)",True
16,bert_model.encoder.layer.0.intermediate.dense,bias,1.099892588614393,3072,"(3072,)",True
17,bert_model.encoder.layer.0.output.dense,weight,15.848454938414687,2359296,"(768, 3072)",True
18,bert_model.encoder.layer.0.output.dense,bias,3.1346939751666003,768,"(768,)",True
19,bert_model.encoder.layer.0.output.LayerNorm,weight,1.0,768,"(768,)",False
20,bert_model.encoder.layer.0.output.LayerNorm,bias,1.0,768,"(768,)",False
21,bert_model.encoder.layer.1.attention.self.query,weight,8.610569097554485,589824,"(768, 768)",True
22,bert_model.encoder.layer.1.attention.self.query,bias,2.098360655737705,768,"(768,)",True
23,bert_model.encoder.layer.1.attention.self.key,weight,8.687424452206285,589824,"(768, 768)",True
24,bert_model.encoder.layer.1.attention.self.key,bias,inf,768,"(768,)",True
25,bert_model.encoder.layer.1.attention.self.value,weight,43.347099979217454,589824,"(768, 768)",True
26,bert_model.encoder.layer.1.attention.self.value,bias,15.058823529411764,768,"(768,)",True
27,bert_model.encoder.layer.1.attention.output.dense,weight,42.56198435688996,589824,"(768, 768)",True
28,bert_model.encoder.layer.1.attention.output.dense,bias,4.517646957450261,768,"(768,)",True
29,bert_model.encoder.layer.1.attention.output.LayerNorm,weight,1.0,768,"(768,)",False
30,bert_model.encoder.layer.1.attention.output.LayerNorm,bias,1.0,768,"(768,)",False
31,bert_model.encoder.layer.1.intermediate.dense,weight,10.955177367993265,2359296,"(3072, 768)",True
32,bert_model.encoder.layer.1.intermediate.dense,bias,1.1810841983852365,3072,"(3072,)",True
33,bert_model.encoder.layer.1.output.dense,weight,13.236698603791645,2359296,"(768, 3072)",True
34,bert_model.encoder.layer.1.output.dense,bias,4.413793103448276,768,"(768,)",True
35,bert_model.encoder.layer.1.output.LayerNorm,weight,1.0,768,"(768,)",False
36,bert_model.encoder.layer.1.output.LayerNorm,bias,1.0,768,"(768,)",False
37,bert_model.encoder.layer.2.attention.self.query,weight,6.807834732068975,589824,"(768, 768)",True
38,bert_model.encoder.layer.2.attention.self.query,bias,1.9152118971974705,768,"(768,)",True
39,bert_model.encoder.layer.2.attention.self.key,weight,7.206509786672531,589824,"(768, 768)",True
40,bert_model.encoder.layer.2.attention.self.key,bias,inf,768,"(768,)",True
41,bert_model.encoder.layer.2.attention.self.value,weight,46.26433490058058,589824,"(768, 768)",True
42,bert_model.encoder.layer.2.attention.self.value,bias,7.680000292968761,768,"(768,)",True
43,bert_model.encoder.layer.2.attention.output.dense,weight,49.16019436589436,589824,"(768, 768)",True
44,bert_model.encoder.layer.2.attention.output.dense,bias,2.568561938450075,768,"(768,)",True
45,bert_model.encoder.layer.2.attention.output.LayerNorm,weight,1.0,768,"(768,)",False
46,bert_model.encoder.layer.2.attention.output.LayerNorm,bias,1.0,768,"(768,)",False
47,bert_model.encoder.layer.2.intermediate.dense,weight,10.416041689705816,2359296,"(3072, 768)",True
48,bert_model.encoder.layer.2.intermediate.dense,bias,1.177462601814253,3072,"(3072,)",True
49,bert_model.encoder.layer.2.output.dense,weight,12.471038213387146,2359296,"(768, 3072)",True
50,bert_model.encoder.layer.2.output.dense,bias,3.2,768,"(768,)",True
51,bert_model.encoder.layer.2.output.LayerNorm,weight,1.0,768,"(768,)",False
52,bert_model.encoder.layer.2.output.LayerNorm,bias,1.0,768,"(768,)",False
53,bert_model.encoder.layer.3.attention.self.query,weight,8.30691211525649,589824,"(768, 768)",True
54,bert_model.encoder.layer.3.attention.self.query,bias,2.194285762117348,768,"(768,)",True
55,bert_model.encoder.layer.3.attention.self.key,weight,8.448748302605019,589824,"(768, 768)",True
56,bert_model.encoder.layer.3.attention.self.key,bias,inf,768,"(768,)",True
57,bert_model.encoder.layer.3.attention.self.value,weight,26.40096769780432,589824,"(768, 768)",True
58,bert_model.encoder.layer.3.attention.self.value,bias,21.94285654496175,768,"(768,)",True
59,bert_model.encoder.layer.3.attention.output.dense,weight,36.406642113964594,589824,"(768, 768)",True
60,bert_model.encoder.layer.3.attention.output.dense,bias,3.0843373493975905,768,"(768,)",True
61,bert_model.encoder.layer.3.attention.output.LayerNorm,weight,1.0,768,"(768,)",False
62,bert_model.encoder.layer.3.attention.output.LayerNorm,bias,1.0,768,"(768,)",False
63,bert_model.encoder.layer.3.intermediate.dense,weight,9.949125912018646,2359296,"(3072, 768)",True
64,bert_model.encoder.layer.3.intermediate.dense,bias,1.2452371609255146,3072,"(3072,)",True
65,bert_model.encoder.layer.3.output.dense,weight,11.75539500924148,2359296,"(768, 3072)",True
66,bert_model.encoder.layer.3.output.dense,bias,3.383260025604518,768,"(768,)",True
67,bert_model.encoder.layer.3.output.LayerNorm,weight,1.0,768,"(768,)",False
68,bert_model.encoder.layer.3.output.LayerNorm,bias,1.0,768,"(768,)",False
69,bert_model.encoder.layer.4.attention.self.query,weight,8.732699842942774,589824,"(768, 768)",True
70,bert_model.encoder.layer.4.attention.self.query,bias,1.9104477611940298,768,"(768,)",True
71,bert_model.encoder.layer.4.attention.self.key,weight,8.9250978638718,589824,"(768, 768)",True
72,bert_model.encoder.layer.4.attention.self.key,bias,inf,768,"(768,)",True
73,bert_model.encoder.layer.4.attention.self.value,weight,16.670171618608286,589824,"(768, 768)",True
74,bert_model.encoder.layer.4.attention.self.value,bias,34.909090152456756,768,"(768,)",True
75,bert_model.encoder.layer.4.attention.output.dense,weight,21.855046094296952,589824,"(768, 768)",True
76,bert_model.encoder.layer.4.attention.output.dense,bias,15.058823529411764,768,"(768,)",True
77,bert_model.encoder.layer.4.attention.output.LayerNorm,weight,1.0,768,"(768,)",False
78,bert_model.encoder.layer.4.attention.output.LayerNorm,bias,1.0,768,"(768,)",False
79,bert_model.encoder.layer.4.intermediate.dense,weight,9.665522608142336,2359296,"(3072, 768)",True
80,bert_model.encoder.layer.4.intermediate.dense,bias,1.259016424936174,3072,"(3072,)",True
81,bert_model.encoder.layer.4.output.dense,weight,11.074115652292296,2359296,"(768, 3072)",True
82,bert_model.encoder.layer.4.output.dense,bias,5.154362284145424,768,"(768,)",True
83,bert_model.encoder.layer.4.output.LayerNorm,weight,1.0,768,"(768,)",False
84,bert_model.encoder.layer.4.output.LayerNorm,bias,1.0,768,"(768,)",False
85,bert_model.encoder.layer.5.attention.self.query,weight,7.984729407562551,589824,"(768, 768)",True
86,bert_model.encoder.layer.5.attention.self.query,bias,2.543046421860611,768,"(768,)",True
87,bert_model.encoder.layer.5.attention.self.key,weight,8.006950690141393,589824,"(768, 768)",True
88,bert_model.encoder.layer.5.attention.self.key,bias,inf,768,"(768,)",True
89,bert_model.encoder.layer.5.attention.self.value,weight,16.396752918850396,589824,"(768, 768)",True
90,bert_model.encoder.layer.5.attention.self.value,bias,40.42105161714424,768,"(768,)",True
