,module,param,comp,size,shape,prunable
0,bert_model.embeddings.word_embeddings,weight,1.0,23440896,"(30522, 768)",False
1,bert_model.embeddings.position_embeddings,weight,1.0,393216,"(512, 768)",False
2,bert_model.embeddings.token_type_embeddings,weight,1.0,1536,"(2, 768)",False
3,bert_model.embeddings.LayerNorm,weight,1.0,768,"(768,)",False
4,bert_model.embeddings.LayerNorm,bias,1.0,768,"(768,)",False
5,bert_model.encoder.layer.0.attention.self.query,weight,8.39344262295082,589824,"(768, 768)",True
6,bert_model.encoder.layer.0.attention.self.query,bias,1.2387096469335335,768,"(768,)",True
7,bert_model.encoder.layer.0.attention.self.key,weight,8.788127825358572,589824,"(768, 768)",True
8,bert_model.encoder.layer.0.attention.self.key,bias,inf,768,"(768,)",True
9,bert_model.encoder.layer.0.attention.self.value,weight,39.98806713473141,589824,"(768, 768)",True
10,bert_model.encoder.layer.0.attention.self.value,bias,10.24,768,"(768,)",True
11,bert_model.encoder.layer.0.attention.output.dense,weight,40.99416284490623,589824,"(768, 768)",True
12,bert_model.encoder.layer.0.attention.output.dense,bias,26.48275774979566,768,"(768,)",True
13,bert_model.encoder.layer.0.attention.output.LayerNorm,weight,1.0,768,"(768,)",False
14,bert_model.encoder.layer.0.attention.output.LayerNorm,bias,1.0,768,"(768,)",False
15,bert_model.encoder.layer.0.intermediate.dense,weight,12.839426488256011,2359296,"(3072, 768)",True
16,bert_model.encoder.layer.0.intermediate.dense,bias,1.0994989502892234,3072,"(3072,)",True
17,bert_model.encoder.layer.0.output.dense,weight,15.859001612749047,2359296,"(768, 3072)",True
18,bert_model.encoder.layer.0.output.dense,bias,3.1475408851892164,768,"(768,)",True
19,bert_model.encoder.layer.0.output.LayerNorm,weight,1.0,768,"(768,)",False
20,bert_model.encoder.layer.0.output.LayerNorm,bias,1.0,768,"(768,)",False
21,bert_model.encoder.layer.1.attention.self.query,weight,8.61925163182239,589824,"(768, 768)",True
22,bert_model.encoder.layer.1.attention.self.query,bias,2.104109633022144,768,"(768,)",True
23,bert_model.encoder.layer.1.attention.self.key,weight,8.70126568541196,589824,"(768, 768)",True
24,bert_model.encoder.layer.1.attention.self.key,bias,inf,768,"(768,)",True
25,bert_model.encoder.layer.1.attention.self.value,weight,43.404517580630944,589824,"(768, 768)",True
26,bert_model.encoder.layer.1.attention.self.value,bias,15.058823529411764,768,"(768,)",True
27,bert_model.encoder.layer.1.attention.output.dense,weight,42.598872945250776,589824,"(768, 768)",True
28,bert_model.encoder.layer.1.attention.output.dense,bias,4.491228070175438,768,"(768,)",True
29,bert_model.encoder.layer.1.attention.output.LayerNorm,weight,1.0,768,"(768,)",False
30,bert_model.encoder.layer.1.attention.output.LayerNorm,bias,1.0,768,"(768,)",False
31,bert_model.encoder.layer.1.intermediate.dense,weight,10.948110688887798,2359296,"(3072, 768)",True
32,bert_model.encoder.layer.1.intermediate.dense,bias,1.1815384338017758,3072,"(3072,)",True
33,bert_model.encoder.layer.1.output.dense,weight,13.24048801030925,2359296,"(768, 3072)",True
34,bert_model.encoder.layer.1.output.dense,bias,4.388571524234696,768,"(768,)",True
35,bert_model.encoder.layer.1.output.LayerNorm,weight,1.0,768,"(768,)",False
36,bert_model.encoder.layer.1.output.LayerNorm,bias,1.0,768,"(768,)",False
37,bert_model.encoder.layer.2.attention.self.query,weight,6.815150017081324,589824,"(768, 768)",True
38,bert_model.encoder.layer.2.attention.self.query,bias,1.9104477611940298,768,"(768,)",True
39,bert_model.encoder.layer.2.attention.self.key,weight,7.212943319772784,589824,"(768, 768)",True
40,bert_model.encoder.layer.2.attention.self.key,bias,inf,768,"(768,)",True
41,bert_model.encoder.layer.2.attention.self.value,weight,46.20996729578977,589824,"(768, 768)",True
42,bert_model.encoder.layer.2.attention.self.value,bias,7.757575757575758,768,"(768,)",True
43,bert_model.encoder.layer.2.attention.output.dense,weight,49.12334571441695,589824,"(768, 768)",True
44,bert_model.encoder.layer.2.attention.output.dense,bias,2.56,768,"(768,)",True
45,bert_model.encoder.layer.2.attention.output.LayerNorm,weight,1.0,768,"(768,)",False
46,bert_model.encoder.layer.2.attention.output.LayerNorm,bias,1.0,768,"(768,)",False
47,bert_model.encoder.layer.2.intermediate.dense,weight,10.417697438772482,2359296,"(3072, 768)",True
48,bert_model.encoder.layer.2.intermediate.dense,bias,1.1783659378596087,3072,"(3072,)",True
49,bert_model.encoder.layer.2.output.dense,weight,12.47288439916099,2359296,"(768, 3072)",True
50,bert_model.encoder.layer.2.output.dense,bias,3.226890652860412,768,"(768,)",True
51,bert_model.encoder.layer.2.output.LayerNorm,weight,1.0,768,"(768,)",False
52,bert_model.encoder.layer.2.output.LayerNorm,bias,1.0,768,"(768,)",False
53,bert_model.encoder.layer.3.attention.self.query,weight,8.313117618050189,589824,"(768, 768)",True
54,bert_model.encoder.layer.3.attention.self.query,bias,2.2005730177964478,768,"(768,)",True
55,bert_model.encoder.layer.3.attention.self.key,weight,8.458683434243273,589824,"(768, 768)",True
56,bert_model.encoder.layer.3.attention.self.key,bias,inf,768,"(768,)",True
57,bert_model.encoder.layer.3.attention.self.value,weight,26.429357917397503,589824,"(768, 768)",True
58,bert_model.encoder.layer.3.attention.self.value,bias,21.94285654496175,768,"(768,)",True
59,bert_model.encoder.layer.3.attention.output.dense,weight,36.49901017669836,589824,"(768, 768)",True
60,bert_model.encoder.layer.3.attention.output.dense,bias,3.0843373493975905,768,"(768,)",True
61,bert_model.encoder.layer.3.attention.output.LayerNorm,weight,1.0,768,"(768,)",False
62,bert_model.encoder.layer.3.attention.output.LayerNorm,bias,1.0,768,"(768,)",False
63,bert_model.encoder.layer.3.intermediate.dense,weight,9.948370772908547,2359296,"(3072, 768)",True
64,bert_model.encoder.layer.3.intermediate.dense,bias,1.2447325462024128,3072,"(3072,)",True
65,bert_model.encoder.layer.3.output.dense,weight,11.756741868050193,2359296,"(768, 3072)",True
66,bert_model.encoder.layer.3.output.dense,bias,3.383260025604518,768,"(768,)",True
67,bert_model.encoder.layer.3.output.LayerNorm,weight,1.0,768,"(768,)",False
68,bert_model.encoder.layer.3.output.LayerNorm,bias,1.0,768,"(768,)",False
69,bert_model.encoder.layer.4.attention.self.query,weight,8.721723320055364,589824,"(768, 768)",True
70,bert_model.encoder.layer.4.attention.self.query,bias,1.9057072681855713,768,"(768,)",True
71,bert_model.encoder.layer.4.attention.self.key,weight,8.923207393556273,589824,"(768, 768)",True
72,bert_model.encoder.layer.4.attention.self.key,bias,inf,768,"(768,)",True
73,bert_model.encoder.layer.4.attention.self.value,weight,16.65416772266656,589824,"(768, 768)",True
74,bert_model.encoder.layer.4.attention.self.value,bias,34.909090152456756,768,"(768,)",True
75,bert_model.encoder.layer.4.attention.output.dense,weight,21.88017994152471,589824,"(768, 768)",True
76,bert_model.encoder.layer.4.attention.output.dense,bias,15.360000585937522,768,"(768,)",True
77,bert_model.encoder.layer.4.attention.output.LayerNorm,weight,1.0,768,"(768,)",False
78,bert_model.encoder.layer.4.attention.output.LayerNorm,bias,1.0,768,"(768,)",False
79,bert_model.encoder.layer.4.intermediate.dense,weight,9.666987320489318,2359296,"(3072, 768)",True
80,bert_model.encoder.layer.4.intermediate.dense,bias,1.2641975308641975,3072,"(3072,)",True
81,bert_model.encoder.layer.4.output.dense,weight,11.074479320687761,2359296,"(768, 3072)",True
82,bert_model.encoder.layer.4.output.dense,bias,5.224489795918367,768,"(768,)",True
83,bert_model.encoder.layer.4.output.LayerNorm,weight,1.0,768,"(768,)",False
84,bert_model.encoder.layer.4.output.LayerNorm,bias,1.0,768,"(768,)",False
85,bert_model.encoder.layer.5.attention.self.query,weight,7.98213664873758,589824,"(768, 768)",True
86,bert_model.encoder.layer.5.attention.self.query,bias,2.568561938450075,768,"(768,)",True
87,bert_model.encoder.layer.5.attention.self.key,weight,8.009016173390558,589824,"(768, 768)",True
88,bert_model.encoder.layer.5.attention.self.key,bias,inf,768,"(768,)",True
89,bert_model.encoder.layer.5.attention.self.value,weight,16.39174065536197,589824,"(768, 768)",True
90,bert_model.encoder.layer.5.attention.self.value,bias,42.666666666666664,768,"(768,)",True
