,module,param,comp,size,shape,prunable
0,bert_model.embeddings.word_embeddings,weight,1.0,23440896,"(30522, 768)",False
1,bert_model.embeddings.position_embeddings,weight,1.0,393216,"(512, 768)",False
2,bert_model.embeddings.token_type_embeddings,weight,1.0,1536,"(2, 768)",False
3,bert_model.embeddings.LayerNorm,weight,1.0,768,"(768,)",False
4,bert_model.embeddings.LayerNorm,bias,1.0,768,"(768,)",False
5,bert_model.encoder.layer.0.attention.self.query,weight,5.267273236163539,589824,"(768, 768)",True
6,bert_model.encoder.layer.0.attention.self.query,bias,1.1906976744186046,768,"(768,)",True
7,bert_model.encoder.layer.0.attention.self.key,weight,5.504810946613832,589824,"(768, 768)",True
8,bert_model.encoder.layer.0.attention.self.key,bias,inf,768,"(768,)",True
9,bert_model.encoder.layer.0.attention.self.value,weight,17.15901590061205,589824,"(768, 768)",True
10,bert_model.encoder.layer.0.attention.self.value,bias,7.836734388828885,768,"(768,)",True
11,bert_model.encoder.layer.0.attention.output.dense,weight,19.220646720838722,589824,"(768, 768)",True
12,bert_model.encoder.layer.0.attention.output.dense,bias,13.473684210526315,768,"(768,)",True
13,bert_model.encoder.layer.0.attention.output.LayerNorm,weight,1.0,768,"(768,)",False
14,bert_model.encoder.layer.0.attention.output.LayerNorm,bias,1.0,768,"(768,)",False
15,bert_model.encoder.layer.0.intermediate.dense,weight,7.204221395235794,2359296,"(3072, 768)",True
16,bert_model.encoder.layer.0.intermediate.dense,bias,1.0615065429201045,3072,"(3072,)",True
17,bert_model.encoder.layer.0.output.dense,weight,8.619881577700088,2359296,"(768, 3072)",True
18,bert_model.encoder.layer.0.output.dense,bias,2.501628602326021,768,"(768,)",True
19,bert_model.encoder.layer.0.output.LayerNorm,weight,1.0,768,"(768,)",False
20,bert_model.encoder.layer.0.output.LayerNorm,bias,1.0,768,"(768,)",False
21,bert_model.encoder.layer.1.attention.self.query,weight,5.354199667237759,589824,"(768, 768)",True
22,bert_model.encoder.layer.1.attention.self.query,bias,1.855072463768116,768,"(768,)",True
23,bert_model.encoder.layer.1.attention.self.key,weight,5.4070624956944595,589824,"(768, 768)",True
24,bert_model.encoder.layer.1.attention.self.key,bias,inf,768,"(768,)",True
25,bert_model.encoder.layer.1.attention.self.value,weight,18.550257751639467,589824,"(768, 768)",True
26,bert_model.encoder.layer.1.attention.self.value,bias,9.974026221090199,768,"(768,)",True
27,bert_model.encoder.layer.1.attention.output.dense,weight,20.386561076608487,589824,"(768, 768)",True
28,bert_model.encoder.layer.1.attention.output.dense,bias,3.2961374469851203,768,"(768,)",True
29,bert_model.encoder.layer.1.attention.output.LayerNorm,weight,1.0,768,"(768,)",False
30,bert_model.encoder.layer.1.attention.output.LayerNorm,bias,1.0,768,"(768,)",False
31,bert_model.encoder.layer.1.intermediate.dense,weight,6.404412830610386,2359296,"(3072, 768)",True
32,bert_model.encoder.layer.1.intermediate.dense,bias,1.1130434782608696,3072,"(3072,)",True
33,bert_model.encoder.layer.1.output.dense,weight,7.496444853337075,2359296,"(768, 3072)",True
34,bert_model.encoder.layer.1.output.dense,bias,3.2,768,"(768,)",True
35,bert_model.encoder.layer.1.output.LayerNorm,weight,1.0,768,"(768,)",False
36,bert_model.encoder.layer.1.output.LayerNorm,bias,1.0,768,"(768,)",False
37,bert_model.encoder.layer.2.attention.self.query,weight,4.5321224597381535,589824,"(768, 768)",True
38,bert_model.encoder.layer.2.attention.self.query,bias,1.710467647884933,768,"(768,)",True
39,bert_model.encoder.layer.2.attention.self.key,weight,4.747418286747928,589824,"(768, 768)",True
40,bert_model.encoder.layer.2.attention.self.key,bias,inf,768,"(768,)",True
41,bert_model.encoder.layer.2.attention.self.value,weight,19.35880314358707,589824,"(768, 768)",True
42,bert_model.encoder.layer.2.attention.self.value,bias,6.4,768,"(768,)",True
43,bert_model.encoder.layer.2.attention.output.dense,weight,22.036314727639542,589824,"(768, 768)",True
44,bert_model.encoder.layer.2.attention.output.dense,bias,2.121547006039003,768,"(768,)",True
45,bert_model.encoder.layer.2.attention.output.LayerNorm,weight,1.0,768,"(768,)",False
46,bert_model.encoder.layer.2.attention.output.LayerNorm,bias,1.0,768,"(768,)",False
47,bert_model.encoder.layer.2.intermediate.dense,weight,6.1683038853343355,2359296,"(3072, 768)",True
48,bert_model.encoder.layer.2.intermediate.dense,bias,1.1199416946247964,3072,"(3072,)",True
49,bert_model.encoder.layer.2.output.dense,weight,7.208029220992294,2359296,"(768, 3072)",True
50,bert_model.encoder.layer.2.output.dense,bias,2.648275931740489,768,"(768,)",True
51,bert_model.encoder.layer.2.output.LayerNorm,weight,1.0,768,"(768,)",False
52,bert_model.encoder.layer.2.output.LayerNorm,bias,1.0,768,"(768,)",False
53,bert_model.encoder.layer.3.attention.self.query,weight,5.177028201279722,589824,"(768, 768)",True
54,bert_model.encoder.layer.3.attention.self.query,bias,1.9345088904742143,768,"(768,)",True
55,bert_model.encoder.layer.3.attention.self.key,weight,5.2574608282767965,589824,"(768, 768)",True
56,bert_model.encoder.layer.3.attention.self.key,bias,inf,768,"(768,)",True
57,bert_model.encoder.layer.3.attention.self.value,weight,12.814181955489488,589824,"(768, 768)",True
58,bert_model.encoder.layer.3.attention.self.value,bias,15.360000585937522,768,"(768,)",True
59,bert_model.encoder.layer.3.attention.output.dense,weight,16.95676161051534,589824,"(768, 768)",True
60,bert_model.encoder.layer.3.attention.output.dense,bias,2.543046421860611,768,"(768,)",True
61,bert_model.encoder.layer.3.attention.output.LayerNorm,weight,1.0,768,"(768,)",False
62,bert_model.encoder.layer.3.attention.output.LayerNorm,bias,1.0,768,"(768,)",False
63,bert_model.encoder.layer.3.intermediate.dense,weight,5.969682289393676,2359296,"(3072, 768)",True
64,bert_model.encoder.layer.3.intermediate.dense,bias,1.1770114942528735,3072,"(3072,)",True
65,bert_model.encoder.layer.3.output.dense,weight,6.885399607204439,2359296,"(768, 3072)",True
66,bert_model.encoder.layer.3.output.dense,bias,2.694736842105263,768,"(768,)",True
67,bert_model.encoder.layer.3.output.LayerNorm,weight,1.0,768,"(768,)",False
68,bert_model.encoder.layer.3.output.LayerNorm,bias,1.0,768,"(768,)",False
69,bert_model.encoder.layer.4.attention.self.query,weight,5.359405192585672,589824,"(768, 768)",True
70,bert_model.encoder.layer.4.attention.self.query,bias,1.7336342517987373,768,"(768,)",True
71,bert_model.encoder.layer.4.attention.self.key,weight,5.451188214251975,589824,"(768, 768)",True
72,bert_model.encoder.layer.4.attention.self.key,bias,inf,768,"(768,)",True
73,bert_model.encoder.layer.4.attention.self.value,weight,8.936862745855278,589824,"(768, 768)",True
74,bert_model.encoder.layer.4.attention.self.value,bias,23.272727272727273,768,"(768,)",True
75,bert_model.encoder.layer.4.attention.output.dense,weight,11.265642591061079,589824,"(768, 768)",True
76,bert_model.encoder.layer.4.attention.output.dense,bias,8.347826260024076,768,"(768,)",True
77,bert_model.encoder.layer.4.attention.output.LayerNorm,weight,1.0,768,"(768,)",False
78,bert_model.encoder.layer.4.attention.output.LayerNorm,bias,1.0,768,"(768,)",False
79,bert_model.encoder.layer.4.intermediate.dense,weight,5.868530449977254,2359296,"(3072, 768)",True
80,bert_model.encoder.layer.4.intermediate.dense,bias,1.1920838183934808,3072,"(3072,)",True
81,bert_model.encoder.layer.4.output.dense,weight,6.665356019565947,2359296,"(768, 3072)",True
82,bert_model.encoder.layer.4.output.dense,bias,3.710144927536232,768,"(768,)",True
83,bert_model.encoder.layer.4.output.LayerNorm,weight,1.0,768,"(768,)",False
84,bert_model.encoder.layer.4.output.LayerNorm,bias,1.0,768,"(768,)",False
85,bert_model.encoder.layer.5.attention.self.query,weight,5.0176007043750985,589824,"(768, 768)",True
86,bert_model.encoder.layer.5.attention.self.query,bias,2.194285762117348,768,"(768,)",True
87,bert_model.encoder.layer.5.attention.self.key,weight,5.03529183315262,589824,"(768, 768)",True
88,bert_model.encoder.layer.5.attention.self.key,bias,inf,768,"(768,)",True
89,bert_model.encoder.layer.5.attention.self.value,weight,8.8592758558006,589824,"(768, 768)",True
90,bert_model.encoder.layer.5.attention.self.value,bias,20.756757291761794,768,"(768,)",True
