,module,param,comp,size,shape,prunable
0,bert_model.embeddings.word_embeddings,weight,1.0,23440896,"(30522, 768)",False
1,bert_model.embeddings.position_embeddings,weight,1.0,393216,"(512, 768)",False
2,bert_model.embeddings.token_type_embeddings,weight,1.0,1536,"(2, 768)",False
3,bert_model.embeddings.LayerNorm,weight,1.0,768,"(768,)",False
4,bert_model.embeddings.LayerNorm,bias,1.0,768,"(768,)",False
5,bert_model.encoder.layer.0.attention.self.query,weight,16.2629312909208,589824,"(768, 768)",True
6,bert_model.encoder.layer.0.attention.self.query,bias,1.3128205128205128,768,"(768,)",True
7,bert_model.encoder.layer.0.attention.self.key,weight,17.0449657796391,589824,"(768, 768)",True
8,bert_model.encoder.layer.0.attention.self.key,bias,inf,768,"(768,)",True
9,bert_model.encoder.layer.0.attention.self.value,weight,138.5864671591455,589824,"(768, 768)",True
10,bert_model.encoder.layer.0.attention.self.value,bias,13.963635879390512,768,"(768,)",True
11,bert_model.encoder.layer.0.attention.output.dense,weight,100.17391200507296,589824,"(768, 768)",True
12,bert_model.encoder.layer.0.attention.output.dense,bias,38.400000915527364,768,"(768,)",True
13,bert_model.encoder.layer.0.attention.output.LayerNorm,weight,1.0,768,"(768,)",False
14,bert_model.encoder.layer.0.attention.output.LayerNorm,bias,1.0,768,"(768,)",False
15,bert_model.encoder.layer.0.intermediate.dense,weight,29.81205074042731,2359296,"(3072, 768)",True
16,bert_model.encoder.layer.0.intermediate.dense,bias,1.176560732214312,3072,"(3072,)",True
17,bert_model.encoder.layer.0.output.dense,weight,37.00624246212858,2359296,"(768, 3072)",True
18,bert_model.encoder.layer.0.output.dense,bias,4.243094012078006,768,"(768,)",True
19,bert_model.encoder.layer.0.output.LayerNorm,weight,1.0,768,"(768,)",False
20,bert_model.encoder.layer.0.output.LayerNorm,bias,1.0,768,"(768,)",False
21,bert_model.encoder.layer.1.attention.self.query,weight,16.973352637234097,589824,"(768, 768)",True
22,bert_model.encoder.layer.1.attention.self.query,bias,2.477419293867067,768,"(768,)",True
23,bert_model.encoder.layer.1.attention.self.key,weight,17.149037135921773,589824,"(768, 768)",True
24,bert_model.encoder.layer.1.attention.self.key,bias,inf,768,"(768,)",True
25,bert_model.encoder.layer.1.attention.self.value,weight,146.72239140120303,589824,"(768, 768)",True
26,bert_model.encoder.layer.1.attention.self.value,bias,20.21052580857212,768,"(768,)",True
27,bert_model.encoder.layer.1.attention.output.dense,weight,105.49525908801294,589824,"(768, 768)",True
28,bert_model.encoder.layer.1.attention.output.dense,bias,6.453781305720824,768,"(768,)",True
29,bert_model.encoder.layer.1.attention.output.LayerNorm,weight,1.0,768,"(768,)",False
30,bert_model.encoder.layer.1.attention.output.LayerNorm,bias,1.0,768,"(768,)",False
31,bert_model.encoder.layer.1.intermediate.dense,weight,23.70175057220159,2359296,"(3072, 768)",True
32,bert_model.encoder.layer.1.intermediate.dense,bias,1.3327549159847742,3072,"(3072,)",True
33,bert_model.encoder.layer.1.output.dense,weight,29.278200732272804,2359296,"(768, 3072)",True
34,bert_model.encoder.layer.1.output.dense,bias,6.2439024390243905,768,"(768,)",True
35,bert_model.encoder.layer.1.output.LayerNorm,weight,1.0,768,"(768,)",False
36,bert_model.encoder.layer.1.output.LayerNorm,bias,1.0,768,"(768,)",False
37,bert_model.encoder.layer.2.attention.self.query,weight,11.855758677609153,589824,"(768, 768)",True
38,bert_model.encoder.layer.2.attention.self.query,bias,2.2857142857142856,768,"(768,)",True
39,bert_model.encoder.layer.2.attention.self.key,weight,12.77975375467561,589824,"(768, 768)",True
40,bert_model.encoder.layer.2.attention.self.key,bias,inf,768,"(768,)",True
41,bert_model.encoder.layer.2.attention.self.value,weight,162.39648122901684,589824,"(768, 768)",True
42,bert_model.encoder.layer.2.attention.self.value,bias,9.974026221090199,768,"(768,)",True
43,bert_model.encoder.layer.2.attention.output.dense,weight,138.78211565397928,589824,"(768, 768)",True
44,bert_model.encoder.layer.2.attention.output.dense,bias,3.213389223917214,768,"(768,)",True
45,bert_model.encoder.layer.2.attention.output.LayerNorm,weight,1.0,768,"(768,)",False
46,bert_model.encoder.layer.2.attention.output.LayerNorm,bias,1.0,768,"(768,)",False
47,bert_model.encoder.layer.2.intermediate.dense,weight,22.212664792851644,2359296,"(3072, 768)",True
48,bert_model.encoder.layer.2.intermediate.dense,bias,1.3000422855064393,3072,"(3072,)",True
49,bert_model.encoder.layer.2.output.dense,weight,26.62351555569,2359296,"(768, 3072)",True
50,bert_model.encoder.layer.2.output.dense,bias,4.413793103448276,768,"(768,)",True
51,bert_model.encoder.layer.2.output.LayerNorm,weight,1.0,768,"(768,)",False
52,bert_model.encoder.layer.2.output.LayerNorm,bias,1.0,768,"(768,)",False
53,bert_model.encoder.layer.3.attention.self.query,weight,16.293930881461105,589824,"(768, 768)",True
54,bert_model.encoder.layer.3.attention.self.query,bias,2.685314613680683,768,"(768,)",True
55,bert_model.encoder.layer.3.attention.self.key,weight,16.575073653318846,589824,"(768, 768)",True
56,bert_model.encoder.layer.3.attention.self.key,bias,inf,768,"(768,)",True
57,bert_model.encoder.layer.3.attention.self.value,weight,72.7369589345172,589824,"(768, 768)",True
58,bert_model.encoder.layer.3.attention.self.value,bias,42.666666666666664,768,"(768,)",True
59,bert_model.encoder.layer.3.attention.output.dense,weight,99.91935890320605,589824,"(768, 768)",True
60,bert_model.encoder.layer.3.attention.output.dense,bias,3.9792744540960894,768,"(768,)",True
61,bert_model.encoder.layer.3.attention.output.LayerNorm,weight,1.0,768,"(768,)",False
62,bert_model.encoder.layer.3.attention.output.LayerNorm,bias,1.0,768,"(768,)",False
63,bert_model.encoder.layer.3.intermediate.dense,weight,20.690315975855032,2359296,"(3072, 768)",True
64,bert_model.encoder.layer.3.intermediate.dense,bias,1.3856562922868743,3072,"(3072,)",True
65,bert_model.encoder.layer.3.output.dense,weight,24.5317921653027,2359296,"(768, 3072)",True
66,bert_model.encoder.layer.3.output.dense,bias,4.413793103448276,768,"(768,)",True
67,bert_model.encoder.layer.3.output.LayerNorm,weight,1.0,768,"(768,)",False
68,bert_model.encoder.layer.3.output.LayerNorm,bias,1.0,768,"(768,)",False
69,bert_model.encoder.layer.4.attention.self.query,weight,17.7748847301329,589824,"(768, 768)",True
70,bert_model.encoder.layer.4.attention.self.query,bias,2.2196531302467934,768,"(768,)",True
71,bert_model.encoder.layer.4.attention.self.key,weight,18.02365177693829,589824,"(768, 768)",True
72,bert_model.encoder.layer.4.attention.self.key,bias,inf,768,"(768,)",True
73,bert_model.encoder.layer.4.attention.self.value,weight,40.67751792627825,589824,"(768, 768)",True
74,bert_model.encoder.layer.4.attention.self.value,bias,64.0,768,"(768,)",True
75,bert_model.encoder.layer.4.attention.output.dense,weight,54.336620291642234,589824,"(768, 768)",True
76,bert_model.encoder.layer.4.attention.output.dense,bias,25.6,768,"(768,)",True
77,bert_model.encoder.layer.4.attention.output.LayerNorm,weight,1.0,768,"(768,)",False
78,bert_model.encoder.layer.4.attention.output.LayerNorm,bias,1.0,768,"(768,)",False
79,bert_model.encoder.layer.4.intermediate.dense,weight,19.805379268661227,2359296,"(3072, 768)",True
80,bert_model.encoder.layer.4.intermediate.dense,bias,1.420906527879162,3072,"(3072,)",True
81,bert_model.encoder.layer.4.output.dense,weight,22.301692237253015,2359296,"(768, 3072)",True
82,bert_model.encoder.layer.4.output.dense,bias,8.0,768,"(768,)",True
83,bert_model.encoder.layer.4.output.LayerNorm,weight,1.0,768,"(768,)",False
84,bert_model.encoder.layer.4.output.LayerNorm,bias,1.0,768,"(768,)",False
85,bert_model.encoder.layer.5.attention.self.query,weight,15.53272081701041,589824,"(768, 768)",True
86,bert_model.encoder.layer.5.attention.self.query,bias,3.011764705882353,768,"(768,)",True
87,bert_model.encoder.layer.5.attention.self.key,weight,15.604634964298358,589824,"(768, 768)",True
88,bert_model.encoder.layer.5.attention.self.key,bias,inf,768,"(768,)",True
89,bert_model.encoder.layer.5.attention.self.value,weight,39.027593400148355,589824,"(768, 768)",True
90,bert_model.encoder.layer.5.attention.self.value,bias,85.33333333333333,768,"(768,)",True
91,bert_model.encoder.layer.5.attention.output.dense,weight,48.87908975994505,589824,"(768, 768)",True
