,module,param,comp,size,shape,prunable
0,bert_model.embeddings.word_embeddings,weight,1.0,23440896,"(30522, 768)",False
1,bert_model.embeddings.position_embeddings,weight,1.0,393216,"(512, 768)",False
2,bert_model.embeddings.token_type_embeddings,weight,1.0,1536,"(2, 768)",False
3,bert_model.embeddings.LayerNorm,weight,1.0,768,"(768,)",False
4,bert_model.embeddings.LayerNorm,bias,1.0,768,"(768,)",False
5,bert_model.encoder.layer.0.attention.self.query,weight,2.4249341361418866,589824,"(768, 768)",True
6,bert_model.encoder.layer.0.attention.self.query,bias,1.1277533039647578,768,"(768,)",True
7,bert_model.encoder.layer.0.attention.self.key,weight,2.4932534636598906,589824,"(768, 768)",True
8,bert_model.encoder.layer.0.attention.self.key,bias,inf,768,"(768,)",True
9,bert_model.encoder.layer.0.attention.self.value,weight,4.324666754652237,589824,"(768, 768)",True
10,bert_model.encoder.layer.0.attention.self.value,bias,4.19672131147541,768,"(768,)",True
11,bert_model.encoder.layer.0.attention.output.dense,weight,4.793680320898436,589824,"(768, 768)",True
12,bert_model.encoder.layer.0.attention.output.dense,bias,4.266666666666667,768,"(768,)",True
13,bert_model.encoder.layer.0.attention.output.LayerNorm,weight,1.0,768,"(768,)",False
14,bert_model.encoder.layer.0.attention.output.LayerNorm,bias,1.0,768,"(768,)",False
15,bert_model.encoder.layer.0.intermediate.dense,weight,2.809803050029828,2359296,"(3072, 768)",True
16,bert_model.encoder.layer.0.intermediate.dense,bias,1.0288010926969309,3072,"(3072,)",True
17,bert_model.encoder.layer.0.output.dense,weight,3.0950638361380625,2359296,"(768, 3072)",True
18,bert_model.encoder.layer.0.output.dense,bias,1.6480687234925602,768,"(768,)",True
19,bert_model.encoder.layer.0.output.LayerNorm,weight,1.0,768,"(768,)",False
20,bert_model.encoder.layer.0.output.LayerNorm,bias,1.0,768,"(768,)",False
21,bert_model.encoder.layer.1.attention.self.query,weight,2.4329962658621462,589824,"(768, 768)",True
22,bert_model.encoder.layer.1.attention.self.query,bias,1.4222222222222223,768,"(768,)",True
23,bert_model.encoder.layer.1.attention.self.key,weight,2.4555127542098796,589824,"(768, 768)",True
24,bert_model.encoder.layer.1.attention.self.key,bias,inf,768,"(768,)",True
25,bert_model.encoder.layer.1.attention.self.value,weight,4.478134011179443,589824,"(768, 768)",True
26,bert_model.encoder.layer.1.attention.self.value,bias,5.019607843137255,768,"(768,)",True
27,bert_model.encoder.layer.1.attention.output.dense,weight,5.008185473314748,589824,"(768, 768)",True
28,bert_model.encoder.layer.1.attention.output.dense,bias,1.8595640959450452,768,"(768,)",True
29,bert_model.encoder.layer.1.attention.output.LayerNorm,weight,1.0,768,"(768,)",False
30,bert_model.encoder.layer.1.attention.output.LayerNorm,bias,1.0,768,"(768,)",False
31,bert_model.encoder.layer.1.intermediate.dense,weight,2.655163480284672,2359296,"(3072, 768)",True
32,bert_model.encoder.layer.1.intermediate.dense,bias,1.0531368064032807,3072,"(3072,)",True
33,bert_model.encoder.layer.1.output.dense,weight,2.8880980973261208,2359296,"(768, 3072)",True
34,bert_model.encoder.layer.1.output.dense,bias,1.8285714285714285,768,"(768,)",True
35,bert_model.encoder.layer.1.output.LayerNorm,weight,1.0,768,"(768,)",False
36,bert_model.encoder.layer.1.output.LayerNorm,bias,1.0,768,"(768,)",False
37,bert_model.encoder.layer.2.attention.self.query,weight,2.2613088924082625,589824,"(768, 768)",True
38,bert_model.encoder.layer.2.attention.self.query,bias,1.391304347826087,768,"(768,)",True
39,bert_model.encoder.layer.2.attention.self.key,weight,2.3176159406050356,589824,"(768, 768)",True
40,bert_model.encoder.layer.2.attention.self.key,bias,inf,768,"(768,)",True
41,bert_model.encoder.layer.2.attention.self.value,weight,4.652562828340196,589824,"(768, 768)",True
42,bert_model.encoder.layer.2.attention.self.value,bias,3.878787878787879,768,"(768,)",True
43,bert_model.encoder.layer.2.attention.output.dense,weight,5.178528289974096,589824,"(768, 768)",True
44,bert_model.encoder.layer.2.attention.output.dense,bias,1.532934131736527,768,"(768,)",True
45,bert_model.encoder.layer.2.attention.output.LayerNorm,weight,1.0,768,"(768,)",False
46,bert_model.encoder.layer.2.attention.output.LayerNorm,bias,1.0,768,"(768,)",False
47,bert_model.encoder.layer.2.intermediate.dense,weight,2.6133213497287526,2359296,"(3072, 768)",True
48,bert_model.encoder.layer.2.intermediate.dense,bias,1.0563961707280967,3072,"(3072,)",True
49,bert_model.encoder.layer.2.output.dense,weight,2.8539618602855916,2359296,"(768, 3072)",True
50,bert_model.encoder.layer.2.output.dense,bias,1.6991149868884132,768,"(768,)",True
51,bert_model.encoder.layer.2.output.LayerNorm,weight,1.0,768,"(768,)",False
52,bert_model.encoder.layer.2.output.LayerNorm,bias,1.0,768,"(768,)",False
53,bert_model.encoder.layer.3.attention.self.query,weight,2.388357572257314,589824,"(768, 768)",True
54,bert_model.encoder.layer.3.attention.self.query,bias,1.4912620917381483,768,"(768,)",True
55,bert_model.encoder.layer.3.attention.self.key,weight,2.4112931634531596,589824,"(768, 768)",True
56,bert_model.encoder.layer.3.attention.self.key,bias,inf,768,"(768,)",True
57,bert_model.encoder.layer.3.attention.self.value,weight,3.8002408728685504,589824,"(768, 768)",True
58,bert_model.encoder.layer.3.attention.self.value,bias,6.2439024390243905,768,"(768,)",True
59,bert_model.encoder.layer.3.attention.output.dense,weight,4.4357006513009,589824,"(768, 768)",True
60,bert_model.encoder.layer.3.attention.output.dense,bias,1.7181208053691275,768,"(768,)",True
61,bert_model.encoder.layer.3.attention.output.LayerNorm,weight,1.0,768,"(768,)",False
62,bert_model.encoder.layer.3.attention.output.LayerNorm,bias,1.0,768,"(768,)",False
63,bert_model.encoder.layer.3.intermediate.dense,weight,2.5719470977053676,2359296,"(3072, 768)",True
64,bert_model.encoder.layer.3.intermediate.dense,bias,1.0878187203948957,3072,"(3072,)",True
65,bert_model.encoder.layer.3.output.dense,weight,2.7923571255119826,2359296,"(768, 3072)",True
66,bert_model.encoder.layer.3.output.dense,bias,1.673202614379085,768,"(768,)",True
67,bert_model.encoder.layer.3.output.LayerNorm,weight,1.0,768,"(768,)",False
68,bert_model.encoder.layer.3.output.LayerNorm,bias,1.0,768,"(768,)",False
69,bert_model.encoder.layer.4.attention.self.query,weight,2.427608895349439,589824,"(768, 768)",True
70,bert_model.encoder.layer.4.attention.self.query,bias,1.366548079807596,768,"(768,)",True
71,bert_model.encoder.layer.4.attention.self.key,weight,2.4457989603046415,589824,"(768, 768)",True
72,bert_model.encoder.layer.4.attention.self.key,bias,inf,768,"(768,)",True
73,bert_model.encoder.layer.4.attention.self.value,weight,3.1437997700597826,589824,"(768, 768)",True
74,bert_model.encoder.layer.4.attention.self.value,bias,7.111111111111111,768,"(768,)",True
75,bert_model.encoder.layer.4.attention.output.dense,weight,3.608854820158648,589824,"(768, 768)",True
76,bert_model.encoder.layer.4.attention.output.dense,bias,3.071999906250003,768,"(768,)",True
77,bert_model.encoder.layer.4.attention.output.LayerNorm,weight,1.0,768,"(768,)",False
78,bert_model.encoder.layer.4.attention.output.LayerNorm,bias,1.0,768,"(768,)",False
79,bert_model.encoder.layer.4.intermediate.dense,weight,2.5610838571285623,2359296,"(3072, 768)",True
80,bert_model.encoder.layer.4.intermediate.dense,bias,1.0924609056467005,3072,"(3072,)",True
81,bert_model.encoder.layer.4.output.dense,weight,2.7674961212747142,2359296,"(768, 3072)",True
82,bert_model.encoder.layer.4.output.dense,bias,2.048,768,"(768,)",True
83,bert_model.encoder.layer.4.output.LayerNorm,weight,1.0,768,"(768,)",False
84,bert_model.encoder.layer.4.output.LayerNorm,bias,1.0,768,"(768,)",False
85,bert_model.encoder.layer.5.attention.self.query,weight,2.3447678368016756,589824,"(768, 768)",True
86,bert_model.encoder.layer.5.attention.self.query,bias,1.5737704425946082,768,"(768,)",True
87,bert_model.encoder.layer.5.attention.self.key,weight,2.357608007922765,589824,"(768, 768)",True
88,bert_model.encoder.layer.5.attention.self.key,bias,inf,768,"(768,)",True
89,bert_model.encoder.layer.5.attention.self.value,weight,3.1681671377846983,589824,"(768, 768)",True
90,bert_model.encoder.layer.5.attention.self.value,bias,5.224489795918367,768,"(768,)",True
